Microsoft (R) COFF/PE Dumper Version 14.42.34436.0
Copyright (C) Microsoft Corporation.  All rights reserved.


Dump of file C:\Windows\System32\ntdll.dll

File Type: DLL

  Section contains the following exports for ntdll.dll

    00000000 characteristics
    E7035EBA time date stamp
        0.00 version
           8 ordinal base
        2491 number of functions
        2490 number of names

    ordinal hint RVA      name

          9    0 0000EB10 A_SHAFinal
         10    1 0000EC40 A_SHAInit
         11    2 0000EC80 A_SHAUpdate
         12    3 000EB820 AlpcAdjustCompletionListConcurrencyCount
         13    4 0007E8B0 AlpcFreeCompletionListMessage
         14    5 000EB850 AlpcGetCompletionListLastMessageInformation
         15    6 000EB870 AlpcGetCompletionListMessageAttributes
         16    7 00072DF0 AlpcGetHeaderSize
         17    8 00072DB0 AlpcGetMessageAttribute
         18    9 0007DC00 AlpcGetMessageFromCompletionList
         19    A 00089810 AlpcGetOutstandingCompletionListMessageCount
         20    B 00072D50 AlpcInitializeMessageAttribute
         21    C 00088320 AlpcMaxAllowedMessageLength
         22    D 00089790 AlpcRegisterCompletionList
         23    E 00080FB0 AlpcRegisterCompletionListWorkerThread
         24    F 000898A0 AlpcRundownCompletionList
         25   10 00089880 AlpcUnregisterCompletionList
         26   11 00080BC0 AlpcUnregisterCompletionListWorkerThread
         27   12 000776B0 ApiSetQueryApiSetPresence
         28   13 00088C20 ApiSetQueryApiSetPresenceEx
         29   14 00074CA0 CsrAllocateCaptureBuffer
         30   15 00074C50 CsrAllocateMessagePointer
         31   16 00074980 CsrCaptureMessageBuffer
         32   17 00074AA0 CsrCaptureMessageMultiUnicodeStringsInPlace
         33   18 00074BA0 CsrCaptureMessageString
         34   19 000D5410 CsrCaptureTimeout
         35   1A 00074D70 CsrClientCallServer
         36   1B 0004B400 CsrClientConnectToServer
         37   1C 00074F30 CsrFreeCaptureBuffer
         38   1D 000D5440 CsrGetProcessId
         39   1E 0008EBC0 CsrIdentifyAlertableThread
         40   1F 000E0D70 CsrSetPriorityClass
         41   20 000D5460 CsrVerifyRegion
         42   21 000A4090 DbgBreakPoint
         43   22 00053890 DbgPrint
         44   23 00053850 DbgPrintEx
         45   24 000EB8B0 DbgPrintReturnControlC
         46   25 000EB900 DbgPrompt
         47   26 000EB950 DbgQueryDebugFilterState
         48   27 000EB960 DbgSetDebugFilterState
         49   28 000D6EB0 DbgUiConnectToDbg
         50   29 000D6F20 DbgUiContinue
         51   2A 000D6F50 DbgUiConvertStateChangeStructure
         52   2B 000D6F60 DbgUiConvertStateChangeStructureEx
         53   2C 000D7210 DbgUiDebugActiveProcess
         54   2D 000D7280 DbgUiGetThreadDebugObject
         55   2E 000D72A0 DbgUiIssueRemoteBreakin
         56   2F 000D7310 DbgUiRemoteBreakin
         57   30 000D7370 DbgUiSetThreadDebugObject
         58   31 000D7390 DbgUiStopDebugging
         59   32 000D73B0 DbgUiWaitStateChange
         60   33 000A40A0 DbgUserBreakPoint
         61   34 000891A0 EtwCheckCoverage
         62   35 00124620 EtwCreateTraceInstanceId
         63   36 0005E760 EtwDeliverDataBlock
         64   37 00124200 EtwEnumerateProcessRegGuids
         65   38 00061B90 EtwEventActivityIdControl
         66   39 00052730 EtwEventEnabled
         67   3A 0002FF00 EtwEventProviderEnabled
         68   3B 000319B0 EtwEventRegister
         69   3C 0002FAF0 EtwEventSetInformation
         70   3D 0002FA80 EtwEventUnregister
         71   3E 000300C0 EtwEventWrite
         72   3F 00052640 EtwEventWriteEndScenario
